,article,cluster,internal_references,assigned_articles,references_count,assigned_articles_count,precision,correctly_labeled,recall
"('43',)",Article 54,43,"['52', '92', '6']","['28', '29', '31', '51', '52', '53', '54', '63', '64', '66', '77', '200', '282', '330', '483']",3,15,0.06666666666666667,1,0.3333333333333333
"('78',)",Article 55,78,['52'],"['55', '65']",1,2,0.0,0,0.0
"('60',)",Article 56,60,['66'],"['56', '488', '490']",1,3,0.0,0,0.0
"('12',)",Article 57,12,['56'],"['42', '57', '67', '103', '279', '281', '326', '327', '331', '338', '345', '353', '357', '359', '374', '375']",1,16,0.0,0,0.0
"('29',)",Article 58,29,['56'],"['44', '58', '68']",1,3,0.0,0,0.0
"('32',)",Article 59,32,['56'],"['45', '59', '69']",1,3,0.0,0,0.0
"('38',)",Article 60,38,"['56', '32', '36', '44', '45']","['46', '60', '70']",5,3,0.0,0,0.0
"('87',)",Article 61,87,"['56', '79']","['61', '71']",2,2,0.0,0,0.0
"('75',)",Article 62,75,"['63', '158', '159']","['62', '106', '108', '109', '193', '237', '240', '241', '250', '257', '264', '385', '438', '444', '452', '453']",3,16,0.0,0,0.0
"('43',)",Article 63,43,"['77', '78']","['28', '29', '31', '51', '52', '53', '54', '63', '64', '66', '77', '200', '282', '330', '483']",2,15,0.06666666666666667,1,0.5
"('43',)",Article 64,43,[],"['28', '29', '31', '51', '52', '53', '54', '63', '64', '66', '77', '200', '282', '330', '483']",0,15,0.0,0,
"('78',)",Article 65,78,['63'],"['55', '65']",1,2,0.0,0,0.0
"('43',)",Article 66,43,[],"['28', '29', '31', '51', '52', '53', '54', '63', '64', '66', '77', '200', '282', '330', '483']",0,15,0.0,0,
"('12',)",Article 67,12,['66'],"['42', '57', '67', '103', '279', '281', '326', '327', '331', '338', '345', '353', '357', '359', '374', '375']",1,16,0.0,0,0.0
"('29',)",Article 68,29,['66'],"['44', '58', '68']",1,3,0.0,0,0.0
"('32',)",Article 69,32,['66'],"['45', '59', '69']",1,3,0.0,0,0.0
"('38',)",Article 70,38,"['66', '32', '36', '44', '45']","['46', '60', '70']",5,3,0.0,0,0.0
"('87',)",Article 71,87,"['66', '79']","['61', '71']",2,2,0.0,0,0.0
"('7',)",Article 72,7,[],"['72', '88', '93']",0,3,0.0,0,
"('16',)",Article 73,16,['10'],"['26', '73', '76', '78', '79', '83']",1,6,0.0,0,0.0
"('82',)",Article 74,82,[],"['25', '74', '86', '494', '499']",0,5,0.0,0,
"('26',)",Article 75,26,"['45', '59', '69']","['23', '38', '39', '75', '215', '219', '311']",3,7,0.0,0,0.0
"('16',)",Article 76,16,"['42', '45', '57', '59', '67', '69', '10']","['26', '73', '76', '78', '79', '83']",7,6,0.0,0,0.0
"('43',)",Article 77,43,[],"['28', '29', '31', '51', '52', '53', '54', '63', '64', '66', '77', '200', '282', '330', '483']",0,15,0.0,0,
"('16',)",Article 78,16,"['77', '27', '10']","['26', '73', '76', '78', '79', '83']",3,6,0.0,0,0.0
"('16',)",Article 79,16,['10'],"['26', '73', '76', '78', '79', '83']",1,6,0.0,0,0.0
"('55',)",Article 80,55,"['28', '29']","['32', '41', '80', '304', '410', '419', '440', '441', '443', '451', '506']",2,11,0.0,0,0.0
"('8',)",Article 81,8,[],"['43', '81', '82']",0,3,0.0,0,
"('8',)",Article 82,8,[],"['43', '81', '82']",0,3,0.0,0,
"('16',)",Article 83,16,"['52', '63', '10']","['26', '73', '76', '78', '79', '83']",3,6,0.0,0,0.0
"('35',)",Article 84,35,"['92', '458', '459', '500', '81', '7', '10', '113']","['84', '85', '87', '91']",8,4,0.0,0,0.0
"('35',)",Article 85,35,"['92', '458', '459', '500', '81', '7']","['84', '85', '87', '91']",6,4,0.0,0,0.0
"('82',)",Article 86,82,['84'],"['25', '74', '86', '494', '499']",1,5,0.0,0,0.0
"('35',)",Article 87,35,"['92', '458', '459', '500', '81', '7']","['84', '85', '87', '91']",6,4,0.0,0,0.0
"('7',)",Article 88,7,['84'],"['72', '88', '93']",1,3,0.0,0,0.0
"('84',)",Article 89,84,[],"['89', '394', '395', '425', '458', '460', '501']",0,7,0.0,0,
"('5',)",Article 90,5,"['89', '36']","['90', '427', '469', '472', '475', '477', '486']",2,7,0.0,0,0.0
"('35',)",Article 91,35,"['89', '79']","['84', '85', '87', '91']",2,4,0.0,0,0.0
"('28',)",Article 92,28,"['93', '94', '379', '395']","['92', '113', '132', '201', '323', '400', '493', '500']",4,8,0.0,0,0.0
"('7',)",Article 93,7,[],"['72', '88', '93']",0,3,0.0,0,
"('70',)",Article 94,70,['92'],"['94', '125', '126', '232', '276', '402']",1,6,0.0,0,0.0
"('80',)",Article 95,80,"['92', '4', '97']","['95', '96']",3,2,0.0,0,0.0
"('80',)",Article 96,80,"['92', '97']","['95', '96']",2,2,0.0,0,0.0
"('2',)",Article 97,2,"['95', '96', '4', '10']","['97', '99', '100', '312', '426', '430', '50', '50']",4,7,0.0,0,0.0
